Country,Total,Previous,Difference
Brazil,1841.3,1837.56,3.74
Belgium,1816.71,1821.92,-5.21
Argentina,1773.88,1770.65,3.23
France,1759.78,1764.85,-5.07
England,1728.47,1737.46,-8.99
Italy,1726.14,1713.86,12.28
Spain,1715.22,1716.93,-1.71
Netherlands,1694.51,1679.41,15.10
Portugal,1676.56,1678.65,-2.09
Denmark,1666.57,1665.47,1.10
Germany,1650.21,1658.96,-8.75
Croatia,1645.64,1632.15,13.49
Mexico,1644.89,1649.57,-4.68
Uruguay,1638.71,1640.95,-2.24
Switzerland,1635.92,1621.43,14.49
USA,1627.48,1635.01,-7.53
Colombia,1611.04,1604.07,6.97
Senegal,1584.38,1584.59,-0.21
Wales,1569.82,1582.13,-12.31
IR Iran,1564.61,1558.64,5.97
Serbia,1563.62,1549.53,14.09
Morocco,1563.5,1558.35,5.15
Peru,1561.01,1562.24,-1.23
Japan,1559.54,1554.69,4.85
Sweden,1553.33,1563.44,-10.11
Poland,1548.59,1546.18,2.41
Ukraine,1536.99,1542.79,-5.80
Korea Republic,1530.3,1526.02,4.28
Chile,1509.61,1514.86,-5.25
Tunisia,1507.54,1507.86,-0.32
Costa Rica,1503.59,1500.06,3.53
Nigeria,1498.47,1504.7,-6.23
Russia,1496.11,1493.42,2.69
Austria,1492.95,1502.47,-9.52
Czechia,1492.21,1502.9,-10.69
Hungary,1492.2,1486.76,5.44
Algeria,1489.1,1480.59,8.51
Australia,1488.72,1483.73,4.99
Egypt,1486.44,1482.63,3.81
Scotland,1479.53,1462.96,16.57
Canada,1475,1473.82,1.18
Norway,1473.04,1488.57,-15.53
Cameroon,1471.44,1484.95,-13.51
Ecuador,1464.39,1463.74,0.65
Türkiye,1460.14,1475.13,-14.99
Mali,1448.85,1442.88,5.97
Paraguay,1448.77,1440.13,8.64
Côte d'Ivoire,1443.06,1435.91,7.15
Republic of Ireland,1440.19,1442.48,-2.29
Qatar,1439.89,1441.97,-2.08
